timestamp_ms,pupilDiameter_px_L_M,pupilUndistortedDiameter_px_L_M,pupilPhysicalDiameter_mm_L_M,pupilWidth_px_L_M,pupilHeight_px_L_M,pupilAxisRatio_L_M,pupilCenterX_px_L_M,pupilCenterY_px_L_M,pupilAngle_deg_L_M,pupilCircumference_px_L_M,pupilConfidence_L_M,pupilOutlineConfidence_L_M,BRISQUEFullImage_L_M,BRISQUEPDROI_L_M,trial,message,cameraTemperature_c_M,cameraTemperature_c_S
1766057310645,46.4784,-1,-1,43.3078,46.4784,1.07321,195.709,107.015,80.5804,141.08,0.909091,0.909091,-1,-1,1,,-1,-1
1766057310670,45.8657,-1,-1,43.456,45.8657,1.05545,195.88,106.819,78.9758,140.332,0.914286,0.914286,-1,-1,1,,-1,-1
1766057310695,46.2041,-1,-1,43.3998,46.2041,1.06462,195.966,106.721,78.9161,140.784,0.914286,0.914286,-1,-1,1,,-1,-1
1766057310720,46.4473,-1,-1,43.4865,46.4473,1.06809,195.966,106.538,83.3586,141.306,0.942857,0.942857,-1,-1,1,,-1,-1
1766057310745,46.462,-1,-1,43.4445,46.462,1.06946,195.891,106.356,77.4297,141.265,0.916667,0.916667,-1,-1,1,,-1,-1
1766057310770,46.5606,-1,-1,43.6207,46.5606,1.0674,195.748,106.274,78.7072,141.694,0.942857,0.942857,-1,-1,1,,-1,-1
1766057310795,46.8212,-1,-1,43.4392,46.8212,1.07786,195.517,106.251,82.0187,141.83,0.942857,0.942857,-1,-1,1,,-1,-1
1766057310820,46.481,-1,-1,43.7706,46.481,1.06192,195.523,106.185,80.36,141.799,0.909091,0.909091,-1,-1,1,,-1,-1
1766057310845,46.2776,-1,-1,43.5814,46.2776,1.06187,195.732,106.14,82.9958,141.182,0.942857,0.942857,-1,-1,1,,-1,-1
1766057310870,46.2795,-1,-1,43.6629,46.2795,1.05993,195.756,106.145,80.5475,141.311,0.90625,0.90625,-1,-1,1,,-1,-1
1766057310895,46.4058,-1,-1,43.7894,46.4058,1.05975,195.995,106.532,83.3094,141.708,0.944444,0.944444,-1,-1,1,,-1,-1
1766057310920,46.3322,-1,-1,43.7472,46.3322,1.05909,195.812,106.749,80.2246,141.526,0.90625,0.90625,-1,-1,1,,-1,-1
1766057310945,46.4305,-1,-1,43.9086,46.4305,1.05743,195.768,106.961,78.31,141.932,0.942857,0.942857,-1,-1,1,,-1,-1
1766057310970,46.4648,-1,-1,44.0076,46.4648,1.05584,195.876,107.208,84.3591,142.14,0.944444,0.944444,-1,-1,1,,-1,-1
1766057310995,46.4051,-1,-1,43.9158,46.4051,1.05668,195.679,107.367,79.0355,141.903,0.909091,0.909091,-1,-1,1,,-1,-1
1766057311020,46.424,-1,-1,43.9836,46.424,1.05548,195.36,107.321,81.6593,142.038,0.941176,0.941176,-1,-1,1,,-1,-1
1766057311045,46.7332,-1,-1,44.0344,46.7332,1.06129,195.211,107.237,82.0489,142.609,0.942857,0.942857,-1,-1,1,,53,0
1766057311069,46.7956,-1,-1,44.0372,46.7956,1.06264,195.402,106.953,77.6243,142.713,0.944444,0.944444,-1,-1,1,,53,0
1766057311094,46.7194,-1,-1,44.0406,46.7194,1.06083,195.381,106.936,76.9977,142.596,0.944444,0.944444,-1,-1,1,,53,0
1766057311119,46.5985,-1,-1,44.1047,46.5985,1.05654,195.32,106.78,81.9156,142.503,0.939394,0.939394,-1,-1,1,,53,0
1766057311144,46.4347,-1,-1,44.1807,46.4347,1.05102,195.109,106.413,89.4633,142.36,0.909091,0.909091,-1,-1,1,,53,0
1766057311169,46.9467,-1,-1,44.0058,46.9467,1.06683,195.29,106.309,83.1435,142.905,0.944444,0.944444,-1,-1,1,,53,0
1766057311194,46.4657,-1,-1,44.0782,46.4657,1.05417,195.183,106.276,77.9804,142.251,0.916667,0.916667,-1,-1,1,,53,0
1766057311219,46.8098,-1,-1,43.8879,46.8098,1.06658,195.216,106.278,81.3522,142.505,0.939394,0.939394,-1,-1,1,,53,0
1766057311244,46.9185,-1,-1,44.0788,46.9185,1.06442,195.308,106.405,79.7628,142.973,0.939394,0.939394,-1,-1,1,,53,0
1766057311269,47.1739,-1,-1,44.1158,47.1739,1.06932,195.293,106.577,77.0316,143.438,0.916667,0.916667,-1,-1,1,,53,0
1766057311294,47.1859,-1,-1,44.1004,47.1859,1.06997,195.421,106.977,80.9567,143.433,0.939394,0.939394,-1,-1,1,,53,0
