TrialNr;Amplitude;Subject;System
24;-2.6777425115;subject_0001;PupilEXT
25;-2.1260668498;subject_0001;PupilEXT
26;-2.3394250537;subject_0001;PupilEXT
27;-2.9574485284;subject_0001;PupilEXT
28;-2.6612247336;subject_0001;PupilEXT
29;-2.4625335188;subject_0001;PupilEXT
30;-2.29794226;subject_0001;PupilEXT
1;-2.9535945401;subject_0002;PupilEXT
2;-2.1213289065;subject_0002;PupilEXT
3;-2.7096074875;subject_0002;PupilEXT
4;-2.1177370295;subject_0002;PupilEXT
5;-2.3562970902;subject_0002;PupilEXT
6;-2.6911570663;subject_0002;PupilEXT
7;-2.5604110803;subject_0002;PupilEXT
8;-2.5675948359;subject_0002;PupilEXT
9;-3.1963355457;subject_0002;PupilEXT
10;-1.5193775591;subject_0002;PupilEXT
11;-1.2479066887;subject_0002;PupilEXT
12;-3.1230172184;subject_0002;PupilEXT
13;-1.7859603274;subject_0002;PupilEXT
14;-1.7222249131;subject_0002;PupilEXT
15;-2.6689966277;subject_0002;PupilEXT
16;-2.654245318;subject_0002;PupilEXT
17;-2.4105730439;subject_0002;PupilEXT
18;-2.7883735931;subject_0002;PupilEXT
19;-2.4130846876;subject_0002;PupilEXT
20;-2.7533592808;subject_0002;PupilEXT
21;-3.0773361121;subject_0002;PupilEXT
22;-2.754829897;subject_0002;PupilEXT
23;-2.5864654452;subject_0002;PupilEXT
24;-1.7020977018;subject_0002;PupilEXT
25;-2.6918492384;subject_0002;PupilEXT
26;-3.3949773574;subject_0002;PupilEXT
27;-1.9674925141;subject_0002;PupilEXT
28;-2.807214074;subject_0002;PupilEXT
29;-2.5603757943;subject_0002;PupilEXT
30;-2.8851977471;subject_0002;PupilEXT
1;-3.1422548049;subject_0003;PupilEXT
2;-2.9747983916;subject_0003;PupilEXT
3;-2.422986863;subject_0003;PupilEXT
4;-2.5904429915;subject_0003;PupilEXT
5;-2.6029178844;subject_0003;PupilEXT
6;-1.9359071434;subject_0003;PupilEXT
7;-2.8973307287;subject_0003;PupilEXT
8;-2.8672853895;subject_0003;PupilEXT
9;-1.9406740075;subject_0003;PupilEXT
10;-3.6074247442;subject_0003;PupilEXT
11;-1.8001853692;subject_0003;PupilEXT
12;-2.760165494;subject_0003;PupilEXT
13;-2.6861482494;subject_0003;PupilEXT
14;-1.7402580611;subject_0003;PupilEXT
15;-2.7958768574;subject_0003;PupilEXT
16;-3.1252900374;subject_0003;PupilEXT
17;-1.6204509156;subject_0003;PupilEXT
18;-1.7834115437;subject_0003;PupilEXT
19;-2.2660835735;subject_0003;PupilEXT
20;-2.0522447666;subject_0003;PupilEXT
21;-2.4298245113;subject_0003;PupilEXT
22;-2.4006119914;subject_0003;PupilEXT
23;-2.6220755905;subject_0003;PupilEXT
24;-2.7062263065;subject_0003;PupilEXT
25;-2.6044690554;subject_0003;PupilEXT
26;-2.4213073194;subject_0003;PupilEXT
27;-1.8538628512;subject_0003;PupilEXT
28;-2.4464395541;subject_0003;PupilEXT
29;-3.3665771024;subject_0003;PupilEXT
30;-2.7553429754;subject_0003;PupilEXT
1;-3.1997237333;subject_0004;PupilEXT
2;-2.6568267662;subject_0004;PupilEXT
3;-2.5682327743;subject_0004;PupilEXT
4;-2.7575182035;subject_0004;PupilEXT
5;-2.8812294604;subject_0004;PupilEXT
6;-2.6764952507;subject_0004;PupilEXT
7;-2.9741515936;subject_0004;PupilEXT
8;-2.5409578513;subject_0004;PupilEXT
9;-2.6221135741;subject_0004;PupilEXT
10;-2.8259379322;subject_0004;PupilEXT
11;-2.9650476926;subject_0004;PupilEXT
12;-2.5013861141;subject_0004;PupilEXT
13;-2.8280304065;subject_0004;PupilEXT
14;-3.1797556274;subject_0004;PupilEXT
15;-2.4291470377;subject_0004;PupilEXT
16;-2.7038037625;subject_0004;PupilEXT
17;-2.7576827865;subject_0004;PupilEXT
18;-3.1925184959;subject_0004;PupilEXT
19;-1.9114999903;subject_0004;PupilEXT
20;-2.8655487674;subject_0004;PupilEXT
21;-2.1960212646;subject_0004;PupilEXT
22;-2.6266058069;subject_0004;PupilEXT
23;-2.4592508215;subject_0004;PupilEXT
24;-2.9197114023;subject_0004;PupilEXT
25;-2.7599232796;subject_0004;PupilEXT
26;-2.5346535134;subject_0004;PupilEXT
27;-2.5903974703;subject_0004;PupilEXT
28;-2.9551583583;subject_0004;PupilEXT
29;-3.1505667113;subject_0004;PupilEXT
30;-1.6490863932;subject_0004;PupilEXT
1;-2.7712718345;subject_0005;PupilEXT
2;-3.1033376534;subject_0005;PupilEXT
3;-2.3624705773;subject_0005;PupilEXT
4;-2.8242216476;subject_0005;PupilEXT
5;-2.7371224924;subject_0005;PupilEXT
6;-2.726001308;subject_0005;PupilEXT
7;-2.6582981401;subject_0005;PupilEXT
8;-2.6106422855;subject_0005;PupilEXT
9;-2.4280119516;subject_0005;PupilEXT
10;-3.1199768756;subject_0005;PupilEXT
11;-2.6770762982;subject_0005;PupilEXT
12;-2.1634252948;subject_0005;PupilEXT
13;-2.7719689896;subject_0005;PupilEXT
14;-2.5712877938;subject_0005;PupilEXT
15;-2.6669954732;subject_0005;PupilEXT
16;-2.623478226;subject_0005;PupilEXT
17;-2.4660040825;subject_0005;PupilEXT
18;-2.5354261301;subject_0005;PupilEXT
19;-2.5282364184;subject_0005;PupilEXT
20;-2.8531428944;subject_0005;PupilEXT
21;-2.8527079693;subject_0005;PupilEXT
22;-2.7867702953;subject_0005;PupilEXT
23;-2.0669026722;subject_0005;PupilEXT
24;-2.4787777825;subject_0005;PupilEXT
25;-2.7873671277;subject_0005;PupilEXT
26;-2.3110563948;subject_0005;PupilEXT
27;-3.1886958982;subject_0005;PupilEXT
28;-2.1294175685;subject_0005;PupilEXT
29;-2.8991052289;subject_0005;PupilEXT
30;-2.5618990596;subject_0005;PupilEXT
1;-3.0527859732;subject_0006;PupilEXT
2;-2.4714982345;subject_0006;PupilEXT
3;-2.7151108002;subject_0006;PupilEXT
4;-3.0735886251;subject_0006;PupilEXT
5;-2.0628639643;subject_0006;PupilEXT
6;-3.1022563536;subject_0006;PupilEXT
7;-1.9726963833;subject_0006;PupilEXT
8;-2.7127406204;subject_0006;PupilEXT
9;-3.1847417024;subject_0006;PupilEXT
10;-2.1040820271;subject_0006;PupilEXT
11;-2.1409864979;subject_0006;PupilEXT
12;-2.6424576582;subject_0006;PupilEXT
13;-2.521968133;subject_0006;PupilEXT
14;-2.7479230602;subject_0006;PupilEXT
15;-2.6688376204;subject_0006;PupilEXT
16;-3.0473084857;subject_0006;PupilEXT
17;-1.8868501427;subject_0006;PupilEXT
18;-2.5318437615;subject_0006;PupilEXT
19;-3.0736915395;subject_0006;PupilEXT
20;-2.3571621989;subject_0006;PupilEXT
21;-2.7929714028;subject_0006;PupilEXT
22;-2.055545975;subject_0006;PupilEXT
23;-2.6631007213;subject_0006;PupilEXT
24;-2.6244374219;subject_0006;PupilEXT
25;-2.7551143989;subject_0006;PupilEXT
26;-2.5552348542;subject_0006;PupilEXT
27;-3.061658713;subject_0006;PupilEXT
28;-1.6887027021;subject_0006;PupilEXT
29;-2.9051966882;subject_0006;PupilEXT
30;-2.8326210683;subject_0006;PupilEXT
