TrialNr;Latency;Subject;System
30;1325;subject_0002;PupilEXT
1;3250;subject_0003;PupilEXT
2;2450;subject_0003;PupilEXT
3;1825;subject_0003;PupilEXT
4;1600;subject_0003;PupilEXT
5;1225;subject_0003;PupilEXT
6;1500;subject_0003;PupilEXT
7;1650;subject_0003;PupilEXT
8;1200;subject_0003;PupilEXT
9;1525;subject_0003;PupilEXT
10;3850;subject_0003;PupilEXT
11;1200;subject_0003;PupilEXT
12;1300;subject_0003;PupilEXT
13;1475;subject_0003;PupilEXT
14;1425;subject_0003;PupilEXT
15;1625;subject_0003;PupilEXT
16;1075;subject_0003;PupilEXT
17;950;subject_0003;PupilEXT
18;1175;subject_0003;PupilEXT
19;875;subject_0003;PupilEXT
20;1800;subject_0003;PupilEXT
21;1525;subject_0003;PupilEXT
22;1175;subject_0003;PupilEXT
23;1400;subject_0003;PupilEXT
24;2525;subject_0003;PupilEXT
25;1500;subject_0003;PupilEXT
26;1550;subject_0003;PupilEXT
27;1325;subject_0003;PupilEXT
28;2225;subject_0003;PupilEXT
29;2375;subject_0003;PupilEXT
30;2450;subject_0003;PupilEXT
1;2875;subject_0004;PupilEXT
2;1875;subject_0004;PupilEXT
3;1175;subject_0004;PupilEXT
4;1050;subject_0004;PupilEXT
5;2325;subject_0004;PupilEXT
6;1700;subject_0004;PupilEXT
7;1525;subject_0004;PupilEXT
8;2125;subject_0004;PupilEXT
9;2475;subject_0004;PupilEXT
10;2350;subject_0004;PupilEXT
11;2975;subject_0004;PupilEXT
12;1175;subject_0004;PupilEXT
13;1200;subject_0004;PupilEXT
14;925;subject_0004;PupilEXT
15;1000;subject_0004;PupilEXT
16;1500;subject_0004;PupilEXT
17;3200;subject_0004;PupilEXT
18;1025;subject_0004;PupilEXT
19;1100;subject_0004;PupilEXT
20;975;subject_0004;PupilEXT
21;1025;subject_0004;PupilEXT
22;1550;subject_0004;PupilEXT
23;1025;subject_0004;PupilEXT
24;1100;subject_0004;PupilEXT
25;875;subject_0004;PupilEXT
26;3875;subject_0004;PupilEXT
27;900;subject_0004;PupilEXT
28;2125;subject_0004;PupilEXT
29;925;subject_0004;PupilEXT
30;1550;subject_0004;PupilEXT
1;1925;subject_0005;PupilEXT
2;2300;subject_0005;PupilEXT
3;1625;subject_0005;PupilEXT
4;2175;subject_0005;PupilEXT
5;1575;subject_0005;PupilEXT
6;1700;subject_0005;PupilEXT
7;1575;subject_0005;PupilEXT
8;1950;subject_0005;PupilEXT
9;1425;subject_0005;PupilEXT
10;1975;subject_0005;PupilEXT
11;1350;subject_0005;PupilEXT
12;1675;subject_0005;PupilEXT
13;2350;subject_0005;PupilEXT
14;2400;subject_0005;PupilEXT
15;1650;subject_0005;PupilEXT
16;1575;subject_0005;PupilEXT
17;1325;subject_0005;PupilEXT
18;2100;subject_0005;PupilEXT
19;1400;subject_0005;PupilEXT
20;1900;subject_0005;PupilEXT
21;1725;subject_0005;PupilEXT
22;1425;subject_0005;PupilEXT
23;1500;subject_0005;PupilEXT
24;1175;subject_0005;PupilEXT
25;2375;subject_0005;PupilEXT
26;1725;subject_0005;PupilEXT
27;1750;subject_0005;PupilEXT
28;1100;subject_0005;PupilEXT
29;1825;subject_0005;PupilEXT
30;2050;subject_0005;PupilEXT
1;1950;subject_0006;PupilEXT
2;2150;subject_0006;PupilEXT
3;3950;subject_0006;PupilEXT
4;1175;subject_0006;PupilEXT
5;2300;subject_0006;PupilEXT
6;2200;subject_0006;PupilEXT
7;1525;subject_0006;PupilEXT
8;1450;subject_0006;PupilEXT
9;2375;subject_0006;PupilEXT
10;1500;subject_0006;PupilEXT
11;1400;subject_0006;PupilEXT
12;3325;subject_0006;PupilEXT
13;2250;subject_0006;PupilEXT
14;2275;subject_0006;PupilEXT
15;1850;subject_0006;PupilEXT
16;3025;subject_0006;PupilEXT
17;1475;subject_0006;PupilEXT
18;1750;subject_0006;PupilEXT
19;1750;subject_0006;PupilEXT
20;1350;subject_0006;PupilEXT
21;3250;subject_0006;PupilEXT
22;1500;subject_0006;PupilEXT
23;1700;subject_0006;PupilEXT
24;1375;subject_0006;PupilEXT
25;1375;subject_0006;PupilEXT
26;1100;subject_0006;PupilEXT
27;900;subject_0006;PupilEXT
28;1025;subject_0006;PupilEXT
29;1625;subject_0006;PupilEXT
30;1000;subject_0006;PupilEXT
